n,method,mean_makespan,std_makespan,mean_time,std_time,mean_gap,std_gap
3,RS,222.0,0.0,0.3536861450003926,0.10907826957094663,0.0,0.0
3,SA,222.0,0.0,16.212840585008962,4.220594064162414,0.0,0.0
4,RS,264.0,0.0,0.4327555300144013,0.11818526514074444,0.0,0.0
4,SA,264.0,0.0,24.48251717496896,6.860721333017443,0.0,0.0
5,RS,311.0,0.0,0.5530053450027481,0.10081668240603212,0.0,0.0
5,SA,311.0,0.0,23.628124684991782,7.11618319066893,0.0,0.0
6,RS,336.0,0.0,0.3255659950140398,0.0589849019225181,0.0,0.0
6,SA,336.0,0.0,31.762332329998024,11.566761515538973,0.0,0.0
7,RS,375.35,1.5652475842498559,0.38701410499052147,0.077632928514623,0.0009333333333333334,0.004173993557999607
7,SA,375.0,0.0,33.25299735001172,10.39004194001465,0.0,0.0
